id,text,label,emoji,tag
71,ppl keep snapping me and i can not snap back because i am looking too good rn,1,,
72,indian society teaches how not to get raped rather than do not rape <hashtag> sadhvi </hashtag> <hashtag> muffler man </hashtag> <hashtag> indias 30 </hashtag> <hashtag> rohtak </hashtag>,1,,"<hashtag>,</hashtag>"
73,"the excitement for <hashtag> evc 14 </hashtag> . follow <user> , answer simple questions and win passes for the gig . <hashtag> get enchanted </hashtag> <url>",0,,"<hashtag>,<url>,</hashtag>,<user>"
74,<user> <allcaps> osu </allcaps> opponents record much better than baylor . outright conf champs . wins against <number> tms with winning records baylor <number>,0,,"</allcaps>,<allcaps>,<number>,<user>"
75,perfect way to start off my morning,1,,
76,this is not the moon . pictures like the moon is made of light bulbs . <hashtag> the </hashtag> <hashtag> moon </hashtag> <happy> <url>,0,,"<hashtag>,<url>,</hashtag>,<happy>"
77,can not wait for next year when it ' s a cyber month sale .,1,,
78,sitting around listening to sad music really helps the depression .,1,,
79,"so , matt and natasha are having sex . <hashtag> what a suprise </hashtag> <hashtag> what else is new </hashtag>",1,,"<hashtag>,</hashtag>"
80,<url> <hashtag> flood </hashtag> of <hashtag> noah </hashtag> <hashtag> hovind theory </hashtag> <hashtag> iceage </hashtag> <hashtag> bible </hashtag> <hashtag> church </hashtag> <hashtag> christians </hashtag> <hashtag> jews </hashtag> <hashtag> tcot </hashtag> . <repeated> <url>,0,,"<hashtag>,<url>,</hashtag>,<repeated>"
81,white people are irrelevant at this point . the black community needs to rise <allcaps> above </allcaps> you all are in control ! <repeated> <hashtag> truth </hashtag>,1,,"</allcaps>,<allcaps>,</hashtag>,<hashtag>,<repeated>"
82,my com professor keeps talking about twitter . lel,0,,
83,the <hashtag> advanced warfare </hashtag> campaign was only <number> hours ps it ' s still better than bf4 ' s campaign tho that i did not finish <tong>,0,,"<hashtag>,<number>,</hashtag>,<tong>"
84,<user> <user> how can you even keep up with all this great music ? ! <repeated>,0,,"<repeated>,<user>"
85,stomach hurts sick of having sinus infection ! <repeated>,0,,<repeated>
86,huge for <user> rt <user> congrats to today ' s <hashtag> 12 days of christmas sweaters contest </hashtag> winner <user> ! <url>,0,,"<hashtag>,<url>,</hashtag>,<user>"
87,fucked up . in the mood at all,0,,
88,pretty flipping cold outside there today i tell ya what,0,,
89,"<user> to tell you the truth , that may have been the smartest thing you have ever tweeted . <hashtag> i really think you are a fucking idiot </hashtag>",1,,"<hashtag>,</hashtag>,<user>"
90,<user> i get paid <number> posting stuff like this on <allcaps> tsu </allcaps> ! <allcaps> you can too </allcaps> ! go to <url> <hashtag> followback </hashtag>,0,,"<url>,</allcaps>,<allcaps>,</hashtag>,<user>,<hashtag>,<number>"
91,bhopal victims do not get justice aft 3 0 yrs but do not find place in prime and a man traveling in business cls is prime time news . <repeated>,1,,<repeated>
92,coin ! lecoincanard coin ! lecoincanard coin ! lecoincanard coin ! deanbcfc wasalrahman this is a question i ask myself everyday . <repeated>,1,,<repeated>
93,making a pair of lungs out of all the tobacco boxes i have collected for my sculpture project <url>,1,,<url>
94,"rolls royce , as envisioned by the wonderful people at mansory <hashtag> rolls royce </hashtag> <hashtag> purple </hashtag> <hashtag> custom car </hashtag> <url>",1,,"<hashtag>,<url>,</hashtag>"
95,<user> fan freakin tastic ! can not wait,1,,<user>
96,i do not like clowns but i am going to be one .,1,,
97,smartphone <allcaps> app pays </allcaps> you ! see <url> <hashtag> verizon </hashtag> <hashtag> folloback </hashtag> <hashtag> tcot </hashtag> go <number> <url> <url>,0,,"<url>,</allcaps>,<allcaps>,</hashtag>,<hashtag>,<number>"
98,love waking up early in the morning <hashtag> hockey tournament </hashtag> <hashtag> ref life </hashtag> <hashtag> zebras </hashtag>,1,,"<hashtag>,</hashtag>"
99,what a good time to start voting again <hashtag> best new artist </hashtag> fifth harmony,1,,"<hashtag>,</hashtag>"
100,hope tulisa does not get a job back on <hashtag> x factor </hashtag> next year,0,,"<hashtag>,</hashtag>"
101,do you use instagram ? well get <number> free followers at <url> no . <url>,0,,"<url>,<number>"
102,<user> always a worthy choice <user> <user> <user> <user>,0,,<user>
103,my <allcaps> five </allcaps> days of <hashtag> christmas </hashtag> shared . <repeated> <hashtag> infosec </hashtag> <hashtag> hire friday </hashtag> <hashtag> humor </hashtag> <url>,0,,"<url>,</allcaps>,<allcaps>,</hashtag>,<hashtag>,<repeated>"
104,"ugh , i would give your first born for some pepto bismol right now . <hashtag> upset tummy </hashtag>",0,,"<hashtag>,</hashtag>"
105,ay after <number> hours nareceive ko rin yung message haha thanks globe,1,,<number>
106,such a fun day in the lib studying econ for <number> hours . <repeated> can not wait to do it again tomorrow <hashtag> this is miserable </hashtag>,1,,"<hashtag>,<number>,</hashtag>,<repeated>"
107,produce all kinds of creative designs <hashtag> like 15 </hashtag> <url> <url>,0,,"<hashtag>,<url>,</hashtag>"
108,yeah this is so cool just fucking woke up,1,,
109,<user> well what can i say 👤,0,,<user>
110,i love <number> hour shifts 😩 😩 😩,1,😩,<number>
111,"lucky i have finished all my coursework , revised super hard and feel super healthy . two words . <repeated> loving life .",1,,<repeated>
112,"it ' s pretty amazing that in ' the land of the free ' , people are debating if we should feel safe around our police .",1,,
113,<hashtag> now playing </hashtag> earicpatten presents dj earic patten ' s elektrik metro house vibes mix sessions on club . <repeated> at <url>,0,,"<hashtag>,<url>,</hashtag>,<repeated>"
114,<user> <user> <user> again fans come second . thanks again,1,,<user>
115,<user> add some your baby can read dvds . <repeated> ya know . <repeated> just in case lol 😏,0,😏,"<repeated>,<user>"
116,<user> <user> yes i remember a little . but then an entirely new lineup came in ? is that what happened ?,0,,<user>
117,me at restaurants is there wi fi ? me at beach is there wi fi ? me at family parties is there wi fi ? me in hell is there wi fi ? <hashtag> wifi </hashtag>,0,,"<hashtag>,</hashtag>"
118,"house adjourned again . with this pace , dont expect the ache din to come to parl n u cnt blame d modi govt fr this <hashtag> rajya sabha </hashtag>",0,,"<hashtag>,</hashtag>"
119,<hashtag> fact </hashtag> <hashtag> star trek </hashtag> adult onesie meets clothing requirements <number> walmart employee . just put on yr vest and a smile . <url>,1,,"<hashtag>,<url>,<number>,</hashtag>"
120,i have such a wonderful gf !,1,,
121,<user> lol of course it ' s the best ! <repeated>,1,,"<repeated>,<user>"
122,i am pretty sure i have a snowman problem .,0,,
123,i am not really sure how i am still alive and writing this paper right . napping instead of sleeping on the weekends is not cutting it <hashtag> finals </hashtag>,0,,"<hashtag>,</hashtag>"
124,one of my favourite things about going to fanshawe is walking to the z building,1,,
125,<user> miss u lots and lots like jelly tots,0,,<user>
126,<user> those waves are epic ! he he,1,,<user>
127,"from our upstairs neighbors deciding to do a load of laundry at <time> , to the <time> freight train , falling asleep is working out great !",1,,<time>
128,babysitting night ! hoping my car does not get towed bc idk where to park 😰,0,😰,
129,thirst will make you settle for a grenade bruh,0,,
130,"<user> hey , now . her profile says i heart jesus so she can not be all bad . <user> <user>",1,,<user>
131,i would have never hired trestman . rt <user> i would fire trestman tonight .,0,,<user>
132,<hashtag> cuba </hashtag> <hashtag> sees </hashtag> <hashtag> long </hashtag> <hashtag> struggle </hashtag> <hashtag> ahead </hashtag> <hashtag> before </hashtag> <hashtag> u </hashtag> . s . <hashtag> lifts </hashtag> <hashtag> embargo </hashtag> . <url> via <user>,0,,"<hashtag>,<url>,</hashtag>,<user>"
133,<user> feds doing studies of gays as if they are a different species . add word lesbian before your study and double your grant .,0,,<user>
134,group message with bbc to start off my morning thanks hannah <happy>,1,,<happy>
135,let us just not pretend for once . .,0,,
136,<user> <hashtag> do </hashtag> <hashtag> worry </hashtag> . they are percey . <user> got the same pair .,0,,"<hashtag>,</hashtag>,<user>"
137,photo <hashtag> say </hashtag> it loud say it <hashtag> proud </hashtag> ! <hashtag> nope </hashtag> <hashtag> never </hashtag> ! a quitter and will never <hashtag> be </hashtag> . <repeated> <hashtag> always </hashtag> <hashtag> winning </hashtag> even . <repeated> <url>,0,,"<hashtag>,<url>,</hashtag>,<repeated>"
138,"i have a <allcaps> very </allcaps> limited number of press seats available for a meet me there screening in austin on <date> . hit me up , press types .",0,,"</allcaps>,<allcaps>,<date>"
139,i like listening to dads truck drivers tell me about them going to the strip joint and their old lady getting mad at them over it 😂,1,😂,
140,florida authorities say <number> police officer shot and killed <url> <hashtag> florida </hashtag> <hashtag> tarpon springs </hashtag> <hashtag> tampa bay </hashtag>,0,,"<hashtag>,<url>,<number>,</hashtag>"
141,"<user> <user> <user> whenever i write anything with the word immigration in it , i am happy if there ' s back and forth .",0,,<user>
142,<hashtag> you and i back to youtube </hashtag> <allcaps> what </allcaps> ? ! <repeated> <allcaps> why </allcaps> ? ! <repeated> <allcaps> its christmas </allcaps> ! <allcaps> its forbidden to do such terribile things </allcaps> ! <allcaps> give it back to us </allcaps> ! <user>,0,,"</allcaps>,<allcaps>,</hashtag>,<user>,<hashtag>,<repeated>"
143,spilled milk onto my boob . oh the .,1,,
144,<hashtag> bbc </hashtag> <hashtag> news </hashtag> <hashtag> denmark </hashtag> <hashtag> challenges </hashtag> <hashtag> russia </hashtag> and <hashtag> canada </hashtag> <hashtag> over </hashtag> <hashtag> north </hashtag> <hashtag> pole </hashtag> . <url>,0,,"<hashtag>,<url>,</hashtag>"
145,gotta love working the day after christmas <hashtag> smell ya </hashtag>,1,,"<hashtag>,</hashtag>"
146,"so ally mccoist hands his notice in and gets a pay rise , he really has rangers best interests at heart",1,,
147,<user> not hating . me and <user> were just awesome .,0,,<user>
148,. <repeated> except we have no hot water . naturally no one would be in the office to take my call . i fucking hate it here .,0,,<repeated>
149,"<user> email me when you need a friend . <repeated> always here to chat , i have been there many many times so right with you xx",0,,"<repeated>,<user>"
150,i feel a nap in my near future . <hashtag> nap time </hashtag>,0,,"<hashtag>,</hashtag>"
151,<url> <hashtag> teen anal casting </hashtag> <hashtag> alice </hashtag> alice and dana <allcaps> tlw </allcaps> 3 x05 part <number>,0,,"<url>,</allcaps>,<allcaps>,</hashtag>,<hashtag>,<number>"
152,<user> why all the delays ? happy,0,,<user>
153,a great day is one in which it ' s pouring rain and you walk out of your apartment without your car or apartment keys .,1,,
154,<user> presumably you have evidence to back this claim and it ' s not simply a feeling you have based on your interactions .,1,,<user>
155,i love hearing people ' s explanations about the dating world in america in the library while i am studying,1,,
156,"<user> <user> <user> obama , like difi with <hashtag> torture report </hashtag> is using the ' scorched earth method . <hashtag> tcot </hashtag>",0,,"<hashtag>,</hashtag>,<user>"
157,people are not as beautiful as they look <hashtag> people </hashtag> <hashtag> beautiful </hashtag> <hashtag> look </hashtag> <hashtag> walk </hashtag> <hashtag> talk </hashtag> <hashtag> personality </hashtag> <hashtag> love </hashtag> <hashtag> care </hashtag> <hashtag> share </hashtag> <url>,0,,"<hashtag>,<url>,</hashtag>"
158,twitter is dead . <hashtag> thanks finals </hashtag>,1,,"<hashtag>,</hashtag>"
159,love being able to be comfortable in my own room 😃 👍,1,"😃,👍",
160,i was wrong when i thought i will find a way that does not lead <number> you,0,,<number>
161,i have tweeted nearly <number> times and i am not sure all <number> tweets really needed to be on the internet . <repeated> including this one,1,,"<number>,<repeated>"
162,"dear <hashtag> spain </hashtag> ' s gov and catalan police , congrats you managed to accomplish the impossible go even lower than <hashtag> greece </hashtag> <hashtag> operación pandora </hashtag>",1,,"<hashtag>,</hashtag>"
163,the whole world can never get me on my level,1,,
164,<user> no ! i rarely drink at all . got a stomach bug <sad>,0,,"<sad>,<user>"
165,first day of christmas shopping tomorrow . can not wait .,1,,
166,<time> say something stupid . oh . <repeated> you beat me to it .,0,,"<repeated>,<time>"
167,morning <hashtag> monday </hashtag> people long know keep working hard ! <hashtag> make sussex safe </hashtag> <number>,0,,"<hashtag>,<number>,</hashtag>"
168,haha love when i accidentally spray perfume in my eye 🙆,1,,
169,"<user> nice , lazy search in google scholar could not find a free copy openaccess for the win",1,,<user>
170,<user> this is not real life . believe me .,0,,<user>
171,ugly christmas sweater <hashtag> ugly christmas sweaters </hashtag> <hashtag> happy holidays </hashtag> <hashtag> merry christmas </hashtag> <hashtag> kisses and hugs </hashtag> . <repeated> <url>,0,,"<hashtag>,<url>,</hashtag>,<repeated>"
172,<user> wesay yar her date was good 😉 i guess she in first meeting wanted to b seen with a girl or smth in hindsight i found her mashkook,0,😉,<user>
173,successful morning doing my essay . <repeated> <hashtag> christmas shopping </hashtag>,1,,"<hashtag>,</hashtag>,<repeated>"
174,can not wait for my <time> <hashtag> dental </hashtag> appointment tomorrow ! oh time please speed through today ! !,1,,"<hashtag>,</hashtag>,<time>"
175,just watched the last ever one tree hill . i am an emotional wreck and it ' s not even <number> o ' clock,0,,<number>
176,"oh , joy ! ' tis the season for christmas came early leads . <hashtag> do better </hashtag>",1,,"<hashtag>,</hashtag>"
177,<number> historical images that normalize <hashtag> breastfeeding </hashtag> <url> via <user> . we are so more tolerant now . <repeated>,1,,"<url>,</hashtag>,<user>,<hashtag>,<number>,<repeated>"
178,<user> fox news criticizing poor journalism regarding the <allcaps> uva </allcaps> incident is hilarious,1,,"</allcaps>,<allcaps>,<user>"
179,produce all kinds of creative designs <hashtag> hypebeast </hashtag> <url> <url>,0,,"<hashtag>,<url>,</hashtag>"
180,<user> a woman that puts a man in irons supports the irons ! <repeated>,1,,"<repeated>,<user>"
181,hashtags are great idk why everyone stopped using them <hashtag> jk </hashtag> <hashtag> bye </hashtag>,1,,"<hashtag>,</hashtag>"
182,"what an irony ! the police divide us , the terrorists unite us ! <hashtag> terrorism </hashtag> <hashtag> police brutality </hashtag>",1,,"<hashtag>,</hashtag>"
183,these girls can wake up people from the dead ! <hashtag> worth </hashtag> <hashtag> watching </hashtag>,0,,"<hashtag>,</hashtag>"
184,bet that was <hashtag> limbs </hashtag> in the sunderland end,0,,"<hashtag>,</hashtag>"
185,"<user> <user> awesome destination site . high population of 1 3 6 k , super easy to get to , lots of great sites . will do well there ! .",1,,<user>
186,"<user> just what the bears need . <repeated> a sense of urgency at qb position , using top pick at qb position",1,,"<repeated>,<user>"
187,quizfreak <url> <hashtag> proud </hashtag> <hashtag> brummie </hashtag> over here x <elongated>,0,,"<hashtag>,<url>,</hashtag>,<elongated>"
188,farting like the world is ending,0,,
189,oh <elongated> the joy of getting pulled over 💚 <url>,1,,"<url>,<elongated>"
190,so aaron sorkin goes on <user> to talk about not liking the media talking about sony hack ? using media to bitch about media ?,1,,<user>
191,short hair <hashtag> really </hashtag> <url>,0,,"<hashtag>,<url>,</hashtag>"
192,<hashtag> great </hashtag> <hashtag> a </hashtag> <hashtag> all </hashtag> <hashtag> burst </hashtag> <hashtag> christmas </hashtag> <hashtag> diy </hashtag> <hashtag> crafts </hashtag> please rt <url> <url>,1,,"<hashtag>,<url>,</hashtag>"
193,"<allcaps> lol </allcaps> actually all <number> are , but i use <number> just for email <user> <user> <user> <user> <user>",0,,"</allcaps>,<allcaps>,<number>,<user>"
194,<user> saturday at <time> ? damn . <repeated> there goes my secret news paraphernalia . <repeated> telling,0,,"<repeated>,<time>,<user>"
195,<user> woww thanks for that helps alot hahaha sad <elongated> 😂,1,😂,"<elongated>,<user>"
196,i love when this happens <url>,1,,<url>
197,<user> i am sure this has made your day . lol,1,,<user>
198,<user> <user> thank god for kanye giving these unknowns some help .,1,,<user>
199,"<user> and among <number> of <hashtag> duleep singh </hashtag> children , none had one !",1,,"<hashtag>,<number>,</hashtag>,<user>"
200,off to bed can not wait to feel this hangover .,1,,
201,"<user> <user> <user> <user> <hashtag> gamer gate </hashtag> , now with weaponized ninjas . we trained with assasins creed .",1,,"<hashtag>,</hashtag>,<user>"
202,<user> <user> what on earth does that mean cloud vs mobile ? it ' s cloud mobile or basically client server <number>,0,,"<number>,<user>"
203,<user> haha quite right mate ! they coonty workers have got it aff easy al tell ye ! oot here workin like a hamilton accie 👳 😂 😂,1,😂,<user>
204,"oh well , looks like we are back to square <number> . batie and bridge . this is going to go so well <hashtag> boldand beautiful </hashtag>",1,,"<hashtag>,<number>,</hashtag>"
205,"<allcaps> exo coming soon </allcaps> <number> better pray this is better with <number> members sighs <emphasis> but either way , obssessed fans would still be obssesed . .",0,,"<emphasis>,</allcaps>,<allcaps>,<number>"
206,<user> because your sarcastic ?,1,,<user>
207,pulis turned down <hashtag> nufc </hashtag> cos he wants to spend a load of money on <number> year old journeymen . parish would not let him and neither would ma . <hashtag> cpfc </hashtag>,0,,"<hashtag>,<number>,</hashtag>"
208,dissecting a rat first period is a great start to the day 🐁,1,,
209,work should be fun today 😒,1,😒,
210,<user> i got manually retweeted by zach harper . <hashtag> internet celebrity </hashtag>,0,,"<hashtag>,</hashtag>,<user>"
211,"well done <user> , you are doing a great job <user> a and e waiting times worst since records began <url>",1,,"<url>,<user>"
212,that moment when you want to break someones fingers 😡 😡 😡 😡 😡,0,😡,
213,they bombarded out country <hashtag> immigration </hashtag> <user>,1,,"<hashtag>,</hashtag>,<user>"
214,wow they seem to be so turnt,1,,
215,"<user> it took <number> <number> hours but in the end , morosi was right and nightengale ' s sources were wrong .",0,,"<number>,<user>"
216,<user> to watch re blues ? chelsea ' s of course,1,,<user>
217,<user> i see what you did there,0,,<user>
218,it ' s <time> and i am ready for bed .,0,,<time>
219,at least i woke up feeling a lot better today . <repeated>,1,,<repeated>
220,"she said nope , i am only getting gift cards . <repeated> ones she bought using her credit card points . .",1,,<repeated>
221,"<user> you were decrying a hate crime against a bosnian man and now you are back to your same old game , inciting hate torwards muslims .",1,,<user>
222,<allcaps> i love </allcaps> not sleeping . it ' s the best .,1,,"</allcaps>,<allcaps>"
223,<user> the lineup is full of goals and offensive intention <hashtag> lfc </hashtag>,1,,"<hashtag>,</hashtag>,<user>"
224,<hashtag> michigan </hashtag> rt <user> rich rodriguez not available for the photo op . he ' s at the fiesta bowl .,0,,"<hashtag>,</hashtag>,<user>"
225,i miss the days when all my close friends lived in the same city .,0,,
226,<user> <user> well that ' s a completely well reasoned and thought out argument . you have changed my mind ! <repeated> <hashtag> ferguson </hashtag>,1,,"<hashtag>,</hashtag>,<repeated>,<user>"
227,if i believed in that sort of thing i should be canonized <hashtag> self praise </hashtag>,0,,"<hashtag>,</hashtag>"
228,when your is so advanced people actually think you are <hashtag> stupid </hashtag> . <repeated> <url> <url>,1,,"<hashtag>,<url>,</hashtag>,<repeated>"
229,just submitted my final paper of the semester . it ' s only a make it or break it on whether i pass the class . no big deal . 😑 👎,1,"👎,😑",
230,<user> does it imply you can get off facebook using crack or cocaine ? .,1,,<user>
231,<user> yea we was we too only a couple schools played black and not its a black dominate game,1,,<user>
232,i love running on <number> hours of sleep . <repeated> <hashtag> i just wanna sleep </hashtag> 😕,1,😕,"<hashtag>,<number>,</hashtag>,<repeated>"
233,"i am so glad that jonathan stewart had to have , his best game in <number> yrs against me in fantasy fb playoffs . <repeated> <hashtag> i m out </hashtag>",1,,"<hashtag>,<number>,</hashtag>,<repeated>"
234,<user> <user> <allcaps> imagine that </allcaps> ? never would have guessed,1,,"</allcaps>,<allcaps>,<user>"
235,<user> because it ' s much more important to unilaterally remove restrictions on oil and gas sector .,1,,<user>
236,connacht camogie champions <number> ! <number> years in a row ! hon <allcaps> hrc </allcaps> ! <hashtag> mountbellew is a hurling stronghold </hashtag> <hashtag> holy rosary 4 life </hashtag> <hashtag> senior b </hashtag> 😄 🙌 🏆 ⚾,0,"😄,🙌","</allcaps>,<allcaps>,</hashtag>,<hashtag>,<number>"
237,<hashtag> bitch </hashtag> <hashtag> bitchy </hashtag> <hashtag> badass </hashtag> <hashtag> lol </hashtag> <hashtag> laughing </hashtag> <hashtag> jokes </hashtag> <hashtag> fun time </hashtag> <hashtag> funny </hashtag> <hashtag> fun </hashtag> <hashtag> ecards </hashtag> . <repeated> <url>,1,,"<hashtag>,<url>,</hashtag>,<repeated>"
